Timestamp,Faculty Last Name,Semester,COMP Course Number,COMP Section Number,Syllabus,Final Version,Cross-Listed
1/17/2020 18:21:34,Sekharan,Spring 2020,271,001,https://drive.google.com/open?id=13F7t2Y6byZv_YXI2_LOFi3E9HOryTK2E,Yes,
1/18/2020 9:45:13,Dligach,Spring 2020,329,001,https://drive.google.com/open?id=1a6s7o9nlgxVlh8StDVGEh_GVsm-LYpaw,Yes,
1/18/2020 9:46:49,Dligach,Spring 2020,488,329,https://drive.google.com/open?id=1O6v5SIuPv8dS3m9hzPnaa4AVAGxzE88I,Yes,
1/18/2020 9:53:21,Chan-Tin,Spring 2020,170,002,https://drive.google.com/open?id=1vkWZ2x6WEnB3OukH1pBmlks17g8xsahe,Yes,
1/18/2020 9:54:35,Chan-Tin,Spring 2020,388,001,https://drive.google.com/open?id=1zSeujv6cCRz_-mTFta-ei0SfCXGMAZh9,Yes,
1/18/2020 9:55:05,Chan-Tin,Spring 2020,488,001,https://drive.google.com/open?id=17xgW1kqqqM2Pmc4uWgRP7N2otDsj6K9e,Yes,
1/18/2020 15:01:38,Bevente,Spring 2020,404,001,https://drive.google.com/open?id=11VMtt66uCdSbY8epRpcxvWqqdfSttxXZ,Yes,
1/18/2020 15:02:41,Bevente,Spring 2020,404,002,https://drive.google.com/open?id=1tKGX3DpTDPwDjGWFMQT5eMOpFqonLyBG,Yes,
1/19/2020 16:44:43,O'Sullivan,Spring 2020,150,002,https://drive.google.com/open?id=1OC-KRjA68SpV0rSA-nk8zHfl2VnHbnBt,Yes,
1/19/2020 22:15:00,Hayward,Spring 2020,324,001,https://drive.google.com/open?id=1nC6isB0bvXhcxbeQ2Lzig2QSyQvVbXSD,Yes,
1/19/2020 22:16:02,Hayward,Spring 2020,424,001,https://drive.google.com/open?id=1D98oSFeNW9ST90bdToizFeZHkHUdnkth,Yes,
1/19/2020 22:17:17,Hayward,Spring 2020,341,001,https://drive.google.com/open?id=1KM3fhWvQA6zXeyGZKod4jTBrmQorqYeP,Yes,
